Size,Latency(us),Benchmark
131072,7.4,latency-1-node-baremetal-calico-CNI
262144,15.0,latency-1-node-baremetal-calico-CNI
524288,30.27,latency-1-node-baremetal-calico-CNI
1048576,62.28,latency-1-node-baremetal-calico-CNI
2097152,248.02,latency-1-node-baremetal-calico-CNI
4194304,600.79,latency-1-node-baremetal-calico-CNI
2,0.42,latency-1-node-baremetal-calico-CNI
4,0.46,latency-1-node-baremetal-calico-CNI
8,0.41,latency-1-node-baremetal-calico-CNI
16,0.42,latency-1-node-baremetal-calico-CNI
32,0.5,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.53,latency-1-node-baremetal-calico-CNI
256,0.61,latency-1-node-baremetal-calico-CNI
512,0.59,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.74,latency-1-node-baremetal-calico-CNI
4096,1.09,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.98,latency-1-node-baremetal-calico-CNI
32768,2.83,latency-1-node-baremetal-calico-CNI
65536,4.5,latency-1-node-baremetal-calico-CNI
131072,8.12,latency-1-node-baremetal-calico-CNI
262144,16.15,latency-1-node-baremetal-calico-CNI
524288,32.1,latency-1-node-baremetal-calico-CNI
1048576,64.62,latency-1-node-baremetal-calico-CNI
2097152,228.02,latency-1-node-baremetal-calico-CNI
4194304,585.62,latency-1-node-baremetal-calico-CNI
2,0.4,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.39,latency-1-node-baremetal-calico-CNI
16,0.4,latency-1-node-baremetal-calico-CNI
32,0.48,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.58,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.78,latency-1-node-baremetal-calico-CNI
4096,1.11,latency-1-node-baremetal-calico-CNI
8192,1.68,latency-1-node-baremetal-calico-CNI
16384,2.08,latency-1-node-baremetal-calico-CNI
32768,2.8,latency-1-node-baremetal-calico-CNI
